Factor,Average Return (Ann. %),Volatility (Ann. %),Sharpe Ratio,CAPM Beta,CAPM Alpha (Ann. %),FF4 Alpha (Ann. %),Average Return (Ann. %)_rank,Volatility (Ann. %)_rank,Sharpe Ratio_rank,CAPM Beta_rank,CAPM Alpha (Ann. %)_rank,FF4 Alpha (Ann. %)_rank,total_factors
kz_index,-0.815784707462822,5.918141823136121,-0.1378447377306217,-0.07479854145991395,-0.19835914781887176,-0.19304229931108585,146,55,146,93,136,139,153
lnoa_gr1a,2.015884087200325,5.3178872209506975,0.3790761261838002,-0.009704747065833163,2.1199191226360714,1.7533559778716068,77,36,61,44,93,98,153
lti_gr1a,-0.3648080728726022,6.137754304960077,-0.059436734471073796,-0.00760790868476368,-0.2966974034293912,-0.6825887875773651,140,60,140,40,140,145,153
market_equity,0.37404981028329126,6.949031886641299,0.05382761460662718,-0.060080119520374876,0.912479921118492,1.37924089015522,121,78,123,85,120,109,153
mispricing_mgmt,5.016348194398542,6.389089311261051,0.785142913178097,-0.09929147354638712,6.0623466222032185,5.246321686277811,10,64,5,107,15,15,153
mispricing_perf,4.773011745370933,9.479575683625445,0.5035047880482246,-0.14528204349166002,6.237711904142951,4.301955158776094,15,125,33,122,13,34,153
ncoa_gr1a,2.693347758007737,5.569804047386253,0.4835623901834836,-0.0374564581699467,3.069003691887162,2.608241808944789,60,44,38,68,66,67,153
ncol_gr1a,-0.41118175406384316,5.074694672816953,-0.0810259100446721,0.006459973368120864,-0.4676618200009419,-0.6355940898045476,141,26,141,29,144,144,153
netdebt_me,0.30415049003339084,9.046919116359938,0.03361923392057107,-0.007807036865131529,0.374263580472034,0.4777331972986687,124,117,126,42,129,127,153
netis_at,4.566619302141434,7.8117621182768,0.5845824838236097,-0.13944650564398625,5.960085750204502,5.446156079628017,21,94,20,120,18,10,153
nfna_gr1a,1.69640991100325,5.773476886778915,0.2938281289196769,-0.010946944780068382,1.8086456867082878,1.55596690526143,85,50,79,46,101,103,153
ni_ar1,-0.0809612274578261,2.6324206137091624,-0.030755429826143633,0.014903911955291782,-0.21400834189606588,-0.03035263847612768,135,2,136,24,137,136,153
ni_be,2.322540479746552,6.573977269344924,0.3532930499435672,-0.051858184939361146,2.819812143623235,2.56021304491707,70,69,66,79,73,68,153
ni_inc8q,2.6361104310108248,9.308006510991959,0.2832089156682265,-0.16028630030741498,4.123256205270587,2.994631074936316,62,122,81,127,49,55,153
ni_ivol,-1.2832103170845135,5.790239147273359,-0.22161611713201537,0.11429641684059767,-2.2809464541742375,-1.9113382213183927,148,52,148,9,150,150,153
ni_me,4.787732075521105,9.340429671537178,0.5125815667892262,-0.06069263460556346,5.459864418117832,5.494422244409947,13,123,31,86,27,9,153
niq_at,6.783180719604491,10.422956042915692,0.6507924135605374,-0.23152423878111686,8.653929798899163,7.467789011013215,2,142,10,136,2,2,153
niq_at_chg1,2.9422725182365794,9.529605777568264,0.30875070668320753,-0.025926022856399052,3.179160860827901,2.8431824262336924,52,128,74,57,63,61,153
niq_be,8.164556102686847,9.746031195756197,0.8377313737967526,-0.21008319389980007,10.11210071380666,8.8159579857914,1,133,3,135,1,1,153
niq_be_chg1,2.145954357466936,7.537269656515955,0.2847124297339903,-0.07611509799501985,2.745906062260395,2.3343900105954773,73,89,80,96,76,75,153
niq_su,3.1084376687226944,8.096737011922551,0.38391239139241884,-0.08059654115055466,3.8221637617067428,2.782651322798513,46,104,59,98,57,64,153
nncoa_gr1a,2.5435595626054157,5.529258027496977,0.46001824294621535,-0.026834175512947065,2.8181067143464134,2.243246300493351,63,42,44,58,74,78,153
noa_at,3.417068449673804,6.512010676333664,0.5247332382442672,0.005832472942709638,3.417558431938428,3.3669965513546396,40,67,28,31,58,49,153
noa_gr1a,4.466241936878472,5.738222792505887,0.7783319153643493,-0.04034151113246434,4.933386032024023,4.245201928094655,23,48,6,71,32,35,153
o_score,2.765020782820082,8.313416901362388,0.3325973923389979,-0.007250263285546208,2.86449552157122,2.944777322337,57,108,70,39,71,58,153
oaccruals_at,2.701472217035246,4.871058138235731,0.5545965866902388,-0.00219075445477975,2.7551583647394517,2.360027501309103,59,23,24,35,75,74,153
oaccruals_ni,1.2362391314992145,7.256868106536775,0.17035436132367437,-0.023201761725103937,1.4529291052975735,0.9787671930352682,103,84,107,54,111,120,153
ocf_at,4.046176080956969,5.7958828776989435,0.6981121196436882,-0.05012774096416408,4.585905695299108,4.127312664864946,30,53,8,78,41,38,153
ocf_at_chg1,3.0280113279216745,5.079036617341151,0.5961782826261297,-0.010136835381853736,3.163210928213722,2.770199544778773,48,27,14,45,64,66,153
ocf_me,4.130894184825023,8.374195511886654,0.4932884811396478,-0.04490706944408965,4.625778845953965,4.495626582812617,29,110,35,73,38,29,153
ocfq_saleq_std,1.5048051014814223,4.7920315884538445,0.31402236686151513,-0.06240586414004347,2.171118864606214,2.1722920973475945,91,22,73,87,91,81,153
op_at,2.397261973685337,7.1528888360135685,0.3351459848803373,-0.06641223088509639,3.0295147105950715,3.192026051616992,67,81,69,89,68,52,153
op_atl1,0.8920952755203068,8.156425060567921,0.10937331844475887,-0.03703903920074883,1.2295884411419378,1.4545407066709704,110,105,114,67,112,106,153
ope_be,2.3333026514909765,5.73049048254472,0.4071732879756628,-0.05646869819477683,2.872951676624247,2.8782340207008428,68,47,54,83,70,60,153
ope_bel1,1.3099595901415553,5.975287122144792,0.2192295639295327,-0.023546812489248736,1.5307791725741815,1.7113102714610973,100,56,93,56,108,101,153
opex_at,1.236315687768517,4.912056662352766,0.2516900298084813,0.005849993669054041,1.1907074130931061,1.0363200930108896,102,25,84,30,115,119,153
pi_nix,0.199193555462107,3.9862404273499665,0.04997028129448026,-0.019351091565731768,0.37202630735027054,0.29117092399528754,126,12,124,51,130,130,153
ppeinv_gr1a,1.9755983848499943,5.2275423748806835,0.37792106561261235,-0.03195937403219725,2.283553172882402,1.7203977060504805,80,33,62,62,86,100,153
prc,1.4079465641559605,8.067164920927056,0.1745280501832313,0.11200621467550903,0.4120108436618031,1.4015376850795347,97,103,105,10,128,108,153
prc_highprc_252d,3.3536387685608897,12.678565430884237,0.26451247870611794,-0.3729705097281241,6.8239686929777665,3.523461010682327,42,152,83,149,7,47,153
qmj,3.542199182724052,7.765308849797744,0.4561568961698558,-0.19479092228869244,5.389235291373762,4.70713739911881,38,93,46,132,28,27,153
qmj_growth,1.597446579556113,5.247169840849634,0.3044396556634902,-0.013081036564298099,1.7263505172889326,1.4318985232525172,89,34,75,48,104,107,153
qmj_prof,2.439503111743234,8.042934505224112,0.3033100804387638,-0.0926852230483924,3.313790904649827,2.9822133067839207,66,102,76,105,61,56,153
qmj_safety,0.888767668755486,8.888669384828946,0.09998883187987866,-0.19805943119413733,2.684175210546802,2.3723165472835595,111,114,115,133,78,73,153
rd5_at,3.206688997136088,7.6182817119387,0.42092024401130346,0.1474324651801987,1.8942632869658027,2.183402932493106,43,92,51,3,98,80,153
rd_me,4.348168040624277,8.735671124509361,0.4977485963757012,0.1165177086725647,3.3945025549518393,4.38993986438645,24,112,34,8,59,30,153
rd_sale,2.2663564931111595,9.986724049057061,0.2269369296656542,0.14355596261725864,1.0325546907886451,2.127538287509201,71,137,91,4,119,82,153
resff3_12_1,5.8033443307284625,5.14581092837054,1.1277803268543594,-0.07555825616102936,6.671705908541492,5.042565086397555,3,30,1,95,11,21,153
resff3_6_1,3.1806856836837123,5.381099780900048,0.5910846877386294,-0.07479873004425565,3.9151130669283996,2.424356765839386,44,38,17,94,52,70,153
ret_12_1,5.543895213037136,11.458300174690084,0.48383225509163136,-0.16962452053151286,7.277306191479349,3.744110593353289,4,148,37,128,6,45,153
ret_12_7,5.062934968638031,8.528199637471763,0.5936698463755675,-0.06808601603016667,5.8150456987341,4.027178051617808,7,111,16,90,22,40,153
ret_1_0,2.7107366375348856,9.061789265114891,0.2991392271690084,0.13592599981338663,1.511217058122516,1.997641080351742,58,118,77,6,109,86,153
ret_3_1,1.798542430161632,9.36416358717847,0.19206653252237268,-0.13839349108554155,3.034046457602413,1.3041824389987466,82,124,99,119,67,111,153
ret_60_12,1.504023115540517,7.037864657762942,0.21370446700499443,-0.06989724172376699,2.180011989170283,1.6095877967985395,92,79,94,92,90,102,153
ret_6_1,3.4815158822331114,10.623934303675158,0.3277049521125845,-0.15224264895103476,4.892659795181076,2.0211690446579444,39,144,72,125,33,84,153
ret_9_1,4.745453451161249,11.152362358104472,0.42551105306515674,-0.19001413872568393,6.621866484058048,3.1907492640494306,18,146,48,131,12,53,153
rmax1_21d,3.979216725759449,9.101513247276479,0.4372038602427111,-0.29464826250872,6.805375967129401,5.228117497780138,31,120,47,141,8,16,153
rmax5_21d,4.7844745895726435,9.986230109811437,0.4791071842888852,-0.33309352896849503,8.030616710426086,6.546657341051887,14,136,39,143,4,3,153
rmax5_rvol_21d,2.225078148544548,5.44455889607929,0.4086792320580573,-0.023544935358199445,2.458515398853356,2.282383674201993,72,41,52,55,81,76,153
rskew_21d,0.5652705445381262,3.040285694894666,0.18592678493581855,-0.020701833856475803,0.7521193561125683,0.5768901571782781,118,5,101,52,121,123,153
rvol_21d,3.6659164370590753,11.078019583263327,0.33091803182922175,-0.38441830923994763,7.322487604312977,5.440399271239604,35,145,71,150,5,12,153
sale_bev,2.1349796808400905,5.307065199808653,0.40229007944297873,0.026221247266473943,1.9183065444099867,1.9522449768214045,74,35,58,21,97,89,153
